age,c_charge_degree,race,age_cat,score_text,sex,priors_count,days_b_screening_arrest,decile_score,is_recid,two_year_recid,length_of_stay
34,0,0,1,0,1,0,-1.0,3,1,1,10
24,0,0,0,0,1,4,-1.0,4,1,1,1
41,0,1,1,1,1,14,-1.0,6,1,1,6
39,1,1,1,0,0,0,-1.0,1,0,0,2
27,0,1,1,0,1,0,-1.0,4,0,0,1
23,1,0,0,1,1,3,0.0,6,1,1,4
37,1,1,1,0,0,0,0.0,1,0,0,0
41,0,0,1,0,1,0,-1.0,4,0,0,0
47,0,1,2,0,0,1,-20.0,1,1,1,14
31,0,0,1,0,1,7,22.0,3,1,1,3
25,0,0,1,2,1,3,-1.0,10,0,0,1
31,0,1,1,1,1,6,-1.0,5,1,1,1
31,0,1,1,0,1,5,-1.0,3,1,1,1
64,0,0,2,1,1,13,-1.0,6,1,1,1
21,0,0,0,2,1,1,-1.0,9,1,1,3
27,1,1,1,0,1,0,0.0,2,1,1,0
21,0,1,0,0,0,0,-2.0,4,0,0,1
43,1,1,1,0,1,1,-1.0,1,0,0,1
27,0,0,1,0,1,8,-1.0,3,1,1,17
26,0,0,1,1,1,5,-1.0,7,1,1,0
33,0,0,1,2,1,0,0.0,10,1,1,37
30,0,1,1,2,1,9,0.0,9,1,1,44
32,0,0,1,2,1,4,-1.0,8,1,1,1
55,0,1,2,0,1,0,-1.0,1,0,0,2
33,1,1,1,1,0,4,-1.0,5,1,1,11
24,1,1,0,0,1,1,0.0,2,1,1,1
34,0,0,1,2,1,21,0.0,9,1,1,33
29,1,1,1,0,1,0,0.0,2,0,0,-1
21,0,0,0,2,0,2,-1.0,8,0,0,79
51,1,0,2,0,1,2,-1.0,1,0,0,1
29,1,1,1,0,1,2,-1.0,2,1,1,0
51,0,0,2,0,0,7,-1.0,2,0,0,1
29,0,0,1,1,1,0,0.0,7,1,1,0
25,1,1,1,2,1,9,-1.0,10,1,1,6
35,0,0,1,2,1,13,-1.0,8,1,1,0
49,1,1,2,0,1,0,0.0,1,0,0,0
29,0,0,1,0,1,0,0.0,4,0,0,0
29,0,1,1,0,1,1,-24.0,2,1,1,0
31,0,0,1,1,1,15,-1.0,5,1,0,135
24,0,0,0,0,1,2,-1.0,4,1,1,1
49,1,0,2,0,1,4,-1.0,1,0,0,0
53,0,1,2,1,1,8,-13.0,5,0,0,13
35,0,0,1,0,1,5,-1.0,3,0,0,0
27,0,0,1,2,1,15,-1.0,10,1,1,1
38,1,1,1,0,1,4,-1.0,2,1,1,1
22,0,0,0,0,1,1,-1.0,4,1,1,1
29,0,0,1,2,1,4,-1.0,9,1,1,18
27,0,0,1,1,1,6,0.0,6,1,1,30
56,1,0,2,0,0,0,0.0,1,0,0,3
39,1,0,1,0,1,1,-1.0,4,0,0,4
29,0,0,1,1,1,5,0.0,6,1,1,1
27,0,1,1,1,1,1,-1.0,6,1,1,14
40,0,0,1,0,1,2,-15.0,2,0,0,3
22,1,0,0,0,1,1,0.0,3,1,1,16
22,0,1,0,2,1,0,-1.0,8,0,0,57
26,0,0,1,0,0,1,-1.0,4,1,1,2
32,0,0,1,0,1,0,-1.0,2,0,0,1
41,1,0,1,0,1,1,-1.0,2,0,0,1
30,1,0,1,2,1,8,-1.0,10,1,1,1
25,0,0,1,2,1,14,-1.0,10,1,1,7
22,0,0,0,2,1,2,0.0,9,1,1,30
35,1,0,1,0,0,1,-1.0,2,0,0,0
36,0,0,1,1,1,9,0.0,7,1,1,3
26,0,1,1,2,1,7,0.0,8,1,1,0
25,0,1,1,2,1,9,-1.0,8,1,1,0
20,0,1,0,1,0,0,-1.0,7,0,0,0
39,0,1,1,0,1,2,-2.0,1,1,1,-1
54,1,1,2,0,0,0,0.0,1,0,0,0
19,1,0,0,0,1,1,-10.0,4,1,1,9
30,0,0,1,0,1,1,-1.0,2,0,0,0
39,0,1,1,0,0,0,-1.0,1,1,1,1
24,0,1,0,1,1,8,-1.0,6,1,1,12
30,0,1,1,0,1,0,-1.0,4,0,0,5
31,1,1,1,1,1,0,-1.0,5,0,0,38
39,0,1,1,0,0,1,-1.0,4,0,0,106
43,0,1,1,0,1,1,-30.0,1,0,0,1
21,0,0,0,2,1,3,-1.0,9,1,1,6
38,1,1,1,0,1,5,-1.0,4,1,1,2
34,0,1,1,1,1,0,0.0,5,0,0,14
33,0,0,1,1,1,5,0.0,5,1,1,0
37,0,0,1,0,1,3,0.0,2,0,0,1
42,0,1,1,0,1,1,0.0,2,1,1,0
41,0,0,1,2,1,10,0.0,9,1,1,176
22,0,0,0,0,1,0,-1.0,4,1,1,0
